Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
219,Nate Hinton,SG,24,HOU,15,0,50,7,17,.423,5,9,.500,3,8,.333,.558,3,3,.800,5,10,15,7,2,1,2,7,22
220,D'Moi Hodge,SG,25,LAL,7,0,59,7,21,.333,4,17,.250,3,4,.667,.433,1,3,.500,0,0,0,7,1,1,1,6,20
221,Aaron Holiday,PG,27,HOU,78,1,163,24,53,.446,11,28,.387,13,26,.510,.547,7,8,.921,3,13,16,18,5,1,7,16,66
222,Jrue Holiday,PG,33,BOS,69,69,328,48,100,.480,20,47,.429,28,53,.526,.581,9,10,.833,12,42,54,48,9,8,18,16,125
223,Justin Holiday,SG,34,DEN,58,9,149,15,33,.454,9,23,.404,6,10,.569,.595,1,1,.750,2,11,12,12,6,2,2,12,40
224,Richaun Holmes,C-PF,30,TOT,40,10,139,21,37,.558,0,1,.333,20,36,.563,.561,9,12,.723,18,28,46,6,3,5,6,19,50
224,Richaun Holmes,C,30,DAL,23,2,103,14,26,.559,0,0,,14,26,.559,.559,5,9,.571,14,20,34,7,1,4,5,14,34
224,Richaun Holmes,PF,30,WAS,17,8,187,29,52,.557,1,2,.333,28,50,.565,.563,13,15,.846,22,39,61,6,5,6,7,24,71
225,Chet Holmgren,C,21,OKC,82,82,294,62,116,.530,16,43,.370,46,74,.623,.598,27,34,.793,16,63,79,24,6,23,16,24,165
226,Jalen Hood-Schifino,SG,20,LAL,21,0,52,5,21,.222,1,7,.133,4,14,.267,.244,6,10,.600,1,5,6,4,1,1,4,6,16
227,Al Horford,C,37,BOS,65,33,268,33,64,.511,17,40,.419,16,25,.658,.640,4,5,.867,13,51,64,26,6,10,7,14,86
228,Talen Horton-Tucker,PG,23,UTA,51,11,198,36,91,.396,12,36,.330,24,55,.438,.460,17,21,.807,4,20,24,35,9,4,13,18,101
229,Danuel House Jr.,SF,30,PHI,34,4,150,14,31,.448,4,15,.300,9,16,.582,.519,10,14,.761,5,12,17,8,4,1,6,13,42
230,Caleb Houstan,SF,21,ORL,59,13,138,14,35,.388,12,33,.373,1,2,.615,.563,4,4,.808,5,9,14,5,3,1,3,10,43
231,Jett Howard,SF,20,ORL,18,0,37,6,17,.333,4,14,.280,2,3,.600,.450,1,2,.500,1,3,4,3,1,1,2,2,16
232,Kevin Huerter,SG,25,SAC,64,59,244,39,88,.443,19,53,.361,20,34,.571,.553,6,7,.766,6,29,35,26,7,4,8,21,102
233,Jay Huff,C,25,DEN,20,0,25,5,8,.600,2,5,.333,3,3,1.000,.700,1,1,1.000,1,5,6,1,1,2,1,5,12
234,De'Andre Hunter,SF,26,ATL,57,37,295,53,116,.459,21,53,.385,33,63,.521,.547,29,34,.847,5,34,39,15,7,3,15,26,156
235,Matthew Hurt,PF,23,MEM,8,0,141,15,43,.353,6,25,.250,9,18,.500,.426,4,4,1.000,11,9,20,5,4,4,3,10,40
236,Bones Hyland,PG,23,LAC,37,5,146,26,68,.386,12,36,.326,14,31,.457,.474,5,6,.783,1,14,15,25,7,1,12,14,69
237,Joe Ingles,SF,36,ORL,68,0,172,15,33,.436,10,24,.435,4,10,.439,.590,4,5,.824,3,18,21,30,6,1,10,13,44
238,Brandon Ingram,SF,26,NOP,64,64,329,78,159,.492,13,38,.355,65,121,.534,.534,38,48,.801,7,44,51,57,8,6,25,23,208
239,Kyrie Irving,SG,31,DAL,58,58,350,97,195,.497,30,73,.411,67,122,.548,.573,33,36,.905,8,42,50,52,13,5,18,19,256
240,Jonathan Isaac,PF,26,ORL,58,2,158,25,49,.510,7,19,.375,18,30,.598,.584,10,14,.720,13,32,45,5,7,12,5,11,68
241,Jaden Ivey,SG,21,DET,77,61,288,54,126,.429,16,48,.336,38,78,.485,.492,29,39,.749,11,23,34,38,7,5,25,26,154
242,Andre Jackson Jr.,SG,22,MIL,57,8,100,9,18,.500,3,8,.370,6,9,.611,.585,1,2,.727,8,12,20,9,3,1,5,16,22
243,GG Jackson II,PF,19,MEM,48,18,257,50,117,.428,21,60,.357,29,58,.502,.519,24,32,.752,11,30,41,12,6,5,14,13,146
244,Isaiah Jackson,C,22,IND,59,3,131,26,39,.665,0,1,.000,26,39,.677,.665,12,17,.716,16,24,40,8,6,10,7,23,65
245,Jaren Jackson Jr.,C,24,MEM,66,66,322,78,176,.444,18,55,.320,60,121,.501,.494,51,63,.808,13,42,55,23,12,16,24,36,225
246,Justin Jackson,SF,28,MIN,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
247,Quenton Jackson,PG,25,IND,3,0,37,0,3,.000,0,0,,0,3,.000,.000,7,7,1.000,0,13,13,7,3,0,0,3,7
248,Reggie Jackson,PG,33,DEN,82,23,222,40,92,.431,12,35,.359,27,58,.475,.499,10,12,.806,4,15,19,38,5,2,13,18,102
249,Trayce Jackson-Davis,PF,23,GSW,68,16,166,34,49,.702,0,0,.000,34,49,.704,.702,11,19,.561,20,30,50,12,4,11,7,16,79
250,LeBron James,PF,39,LAL,71,71,353,96,179,.540,21,51,.410,75,128,.592,.599,43,57,.750,9,64,73,83,13,5,35,11,257
251,Jaime Jaquez Jr.,SF,22,MIA,75,20,282,45,93,.489,9,27,.322,37,66,.558,.536,19,23,.811,11,27,38,26,10,3,15,22,119
252,DeJon Jarreau,SG,26,MEM,9,0,167,19,56,.340,4,14,.308,14,41,.351,.380,6,12,.455,9,40,49,29,7,2,10,16,48
253,DaQuan Jeffries,SG,26,NYK,17,0,27,4,10,.353,1,6,.200,2,4,.571,.412,0,1,.000,0,3,3,3,0,1,2,1,8
254,Trey Jemison,C,24,TOT,25,14,229,30,54,.551,0,0,,30,54,.551,.551,8,10,.840,26,28,54,11,5,11,14,28,68
254,Trey Jemison,C,24,WAS,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,5,5,0,0,0,5,0,0
254,Trey Jemison,C,24,MEM,23,14,249,33,59,.551,0,0,,33,59,.551,.551,9,11,.840,28,30,58,12,5,12,14,30,74
255,Ty Jerome,SG,26,CLE,2,0,75,10,20,.500,0,5,.000,10,15,.667,.500,0,0,,5,0,5,15,0,0,5,10,20
256,Isaiah Joe,SG,24,OKC,78,1,185,28,62,.458,19,45,.416,10,17,.568,.609,6,7,.865,4,19,23,13,6,3,6,11,82
257,Cameron Johnson,PF,27,BRK,58,47,276,48,107,.446,24,61,.391,24,46,.519,.557,15,19,.789,9,34,43,24,8,3,10,18,134
258,Jalen Johnson,SF,22,ATL,56,52,337,64,125,.511,13,36,.355,51,90,.574,.562,19,26,.728,13,74,87,36,12,8,18,24,160
259,James Johnson,PF,36,IND,9,0,52,3,11,.300,0,2,.000,3,9,.375,.300,2,2,1.000,1,3,4,9,6,1,6,10,9
260,Keldon Johnson,SF,24,SAS,69,27,295,57,125,.454,18,53,.346,38,72,.533,.527,25,32,.792,14,41,55,28,7,3,14,22,157
261,Keon Johnson,SG,21,BRK,5,0,122,16,42,.381,8,20,.400,8,22,.364,.476,22,24,.917,6,8,14,6,6,2,10,10,62
262,Keyontae Johnson,SF,23,OKC,9,0,73,6,18,.313,1,3,.333,4,14,.308,.344,0,0,,4,7,11,4,1,0,4,6,12
263,Nikola Jokić,C,28,DEN,79,79,346,104,179,.583,11,29,.359,94,149,.626,.612,45,55,.817,28,95,124,90,14,9,30,25,264
264,Colby Jones,SG,21,SAC,30,0,64,9,24,.394,1,7,.091,9,16,.531,.408,2,4,.545,6,8,13,7,2,2,3,10,21
265,Damian Jones,C,28,CLE,39,0,69,11,18,.597,1,4,.214,10,15,.690,.618,5,5,.857,5,11,16,4,2,3,3,7,27
266,Derrick Jones Jr.,SF,26,DAL,76,66,235,31,65,.483,11,31,.343,21,34,.613,.566,13,18,.713,11,22,33,10,7,7,9,16,86
267,Herbert Jones,SF,25,NOP,76,76,305,39,77,.498,15,36,.418,24,41,.568,.595,18,21,.867,10,26,36,26,14,8,12,29,110
268,Mason Jones,SG,25,SAC,5,0,56,4,16,.250,4,14,.286,0,2,.000,.375,2,4,.500,2,8,10,10,2,0,4,6,14
269,Tre Jones,PG,24,SAS,77,48,278,39,78,.505,8,25,.335,31,53,.584,.558,13,15,.856,8,30,38,62,10,1,15,12,100
270,Tyus Jones,PG,27,WAS,66,66,293,49,101,.489,16,39,.414,33,62,.537,.569,5,6,.800,3,24,27,73,11,3,10,7,120
271,DeAndre Jordan,C,35,DEN,36,2,110,16,26,.624,0,0,,16,26,.624,.624,7,15,.491,15,29,44,7,2,4,6,16,39
272,Cory Joseph,PG,32,GSW,26,0,114,9,25,.359,5,16,.310,4,8,.455,.461,2,3,.571,2,9,12,16,2,1,5,10,24
273,Nikola Jović,PF,20,MIA,46,38,195,28,61,.452,14,35,.399,13,26,.525,.568,7,10,.702,5,36,42,20,5,3,9,18,77
274,Johnny Juzang,SG,22,UTA,20,5,186,26,55,.464,16,39,.416,10,17,.576,.609,5,7,.714,4,15,18,12,2,1,7,15,72
275,Luke Kennard,SG,27,MEM,39,22,256,36,81,.448,27,61,.450,9,20,.442,.617,10,12,.889,3,26,29,35,5,1,14,10,110
276,Walker Kessler,C,22,UTA,64,22,233,36,55,.654,1,3,.211,35,52,.680,.660,9,15,.602,26,49,75,9,5,24,10,21,81
277,Braxton Key,SF,26,DEN,20,0,30,4,9,.412,1,3,.400,3,6,.417,.471,3,4,.750,2,8,9,5,1,1,1,3,11
278,Corey Kispert,SF,24,WAS,80,22,258,48,99,.486,23,60,.383,25,39,.643,.602,14,20,.726,4,24,28,20,5,2,12,18,134
279,Maxi Kleber,C,32,DAL,43,7,203,15,34,.432,7,21,.348,7,13,.574,.541,8,11,.702,7,26,33,16,4,7,7,18,44
280,Kevin Knox,SF,24,DET,31,11,181,28,60,.462,10,30,.330,18,30,.598,.546,6,7,.909,6,18,24,7,4,2,7,16,72
281,John Konchar,SF,27,MEM,55,23,213,16,38,.423,7,22,.317,9,16,.568,.514,4,5,.840,13,34,47,20,9,9,8,14,43
282,Furkan Korkmaz,SG,26,PHI,35,0,86,9,22,.395,4,11,.350,5,10,.444,.487,4,6,.700,1,7,9,7,4,1,3,5,25
283,Luke Kornet,C,28,BOS,63,7,156,23,32,.700,0,0,1.000,22,32,.698,.702,8,9,.907,19,23,41,11,4,10,3,12,53
284,Vit Krejci,PG,23,ATL,22,14,246,23,47,.490,13,31,.412,10,16,.639,.625,2,3,.833,5,19,24,23,6,3,9,22,61
285,Jonathan Kuminga,PF,21,GSW,74,46,263,62,116,.529,7,22,.321,54,94,.578,.560,30,40,.746,12,36,48,22,7,5,16,23,161
286,Kyle Kuzma,PF,28,WAS,70,70,326,87,188,.463,22,64,.336,65,123,.530,.521,27,34,.775,9,57,66,42,5,7,27,22,222
287,Jock Landale,C,28,HOU,56,3,136,19,37,.515,2,7,.250,17,30,.578,.539,9,12,.800,16,15,31,12,4,6,6,13,49
288,Jake LaRavia,PF,22,MEM,35,6,230,34,87,.389,15,45,.340,19,42,.442,.477,26,31,.826,15,22,37,17,8,3,13,20,108
289,Zach LaVine,SG,28,CHI,25,23,349,68,150,.452,24,68,.349,44,83,.536,.531,35,41,.854,3,48,52,39,8,3,21,23,195
290,A.J. Lawson,SG,23,DAL,42,0,74,13,29,.446,3,12,.260,10,17,.577,.500,4,5,.652,3,9,12,5,2,1,3,5,32
291,Saben Lee,PG,24,PHO,24,0,77,8,23,.364,1,7,.125,8,16,.462,.382,12,16,.744,4,9,13,13,3,1,3,5,30
292,Alex Len,C,30,SAC,48,0,93,10,17,.617,0,1,.000,10,16,.641,.617,4,7,.588,10,17,27,10,2,7,6,14,25
293,Kawhi Leonard,SF,32,LAC,68,68,343,90,171,.525,21,49,.417,69,121,.569,.585,37,42,.885,12,49,61,36,16,9,18,14,237
294,Caris LeVert,SG,29,CLE,68,10,288,51,121,.421,16,49,.325,35,72,.486,.487,23,30,.766,6,35,41,51,11,5,17,18,140
295,Kira Lewis Jr.,PG,22,TOT,28,0,95,12,33,.370,1,12,.121,11,21,.508,.391,6,7,.850,3,6,9,13,3,1,5,5,32
295,Kira Lewis Jr.,PG,22,NOP,15,0,96,11,35,.308,1,13,.100,9,21,.438,.327,7,7,.909,3,7,9,12,3,1,5,5,29
295,Kira Lewis Jr.,PG,22,TOR,1,0,20,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,10,0
295,Kira Lewis Jr.,PG,22,UTA,12,0,99,15,33,.450,2,11,.154,13,23,.593,.475,6,8,.778,4,6,10,16,3,1,5,3,38
296,Maxwell Lewis,SF,21,LAL,34,0,30,1,6,.190,0,3,.111,1,4,.250,.214,1,1,.667,1,1,1,2,1,0,3,1,3
297,E.J. Liddell,PF,23,NOP,8,0,29,1,8,.167,0,6,.000,1,1,1.000,.167,3,3,1.000,0,6,6,1,3,3,3,3,5
298,Damian Lillard,PG,33,MIL,73,73,353,74,175,.424,30,85,.354,44,90,.490,.510,65,70,.920,5,39,44,70,10,2,26,18,243
299,Nassir Little,SF,23,PHO,45,2,102,13,28,.460,5,16,.300,8,12,.667,.544,4,4,.850,3,14,17,5,2,2,3,9,34
300,Dereck Lively II,C,19,DAL,55,42,235,40,54,.747,0,0,.000,40,53,.752,.747,7,15,.506,25,44,69,11,7,14,9,26,88
301,Isaiah Livers,PF,25,DET,23,6,204,17,50,.345,10,33,.286,8,17,.462,.440,5,8,.667,7,14,21,11,6,2,7,19,50
302,Chris Livingston,SF,20,MIL,21,0,43,5,10,.500,0,2,.200,5,8,.588,.523,1,2,.750,1,9,10,2,1,0,2,7,12
303,Kenneth Lofton Jr.,PF,21,TOT,21,0,95,17,37,.462,3,11,.292,14,26,.537,.506,8,12,.654,6,12,18,16,3,2,7,11,46
303,Kenneth Lofton Jr.,PF,21,MEM,15,0,66,9,25,.378,2,7,.300,7,18,.407,.419,5,10,.533,1,9,10,9,2,2,4,10,26
303,Kenneth Lofton Jr.,PF,21,PHI,2,0,45,5,30,.167,0,10,.000,5,20,.250,.167,0,0,,0,15,15,0,0,0,10,0,10
303,Kenneth Lofton Jr.,PF,21,UTA,4,0,228,53,88,.600,10,30,.333,43,58,.739,.657,23,28,.818,25,25,50,48,8,5,15,23,138
304,Kevon Looney,C,27,GSW,74,36,161,19,31,.597,0,0,.000,19,31,.599,.597,8,11,.675,19,37,57,18,4,4,7,21,45
305,Brook Lopez,C,35,MIL,79,79,305,46,96,.485,19,51,.366,28,44,.621,.583,14,17,.821,15,37,52,16,5,24,10,24,125
306,Robin Lopez,C,35,MIL,16,2,41,4,12,.368,1,5,.250,3,7,.455,.421,1,1,1.000,2,1,3,3,1,2,1,4,11
307,Kevin Love,PF,35,MIA,55,5,168,29,65,.440,15,44,.344,13,21,.643,.557,15,20,.787,11,51,61,21,3,2,9,18,88
308,Kyle Lowry,PG,37,TOT,60,55,282,27,63,.432,16,42,.392,11,21,.512,.562,11,13,.840,6,27,32,42,10,4,14,24,81
308,Kyle Lowry,PG,37,MIA,37,35,280,28,65,.426,17,44,.385,11,22,.506,.554,9,11,.833,7,28,35,40,11,4,14,25,82
308,Kyle Lowry,PG,37,PHI,23,20,284,26,59,.444,16,39,.404,10,20,.522,.578,12,14,.848,4,24,28,46,9,3,14,23,80
309,Seth Lundy,SF,23,ATL,9,0,58,4,19,.235,3,14,.231,1,4,.250,.324,3,4,.750,1,7,8,0,0,0,1,7,16
310,Trey Lyles,PF,28,SAC,58,0,200,25,55,.445,14,38,.384,10,18,.578,.576,8,12,.700,11,34,44,12,3,3,7,15,72
311,Théo Maledon,PG,22,TOT,17,1,125,12,41,.286,3,18,.167,9,24,.375,.321,8,9,.933,2,12,14,16,4,0,11,12,35
311,Théo Maledon,PG,22,CHO,13,1,154,15,51,.288,4,23,.167,11,28,.389,.326,8,9,.917,3,15,18,22,5,0,12,14,42
311,Théo Maledon,PG,22,PHO,4,0,33,3,10,.250,0,0,,3,10,.250,.250,8,8,1.000,0,3,3,0,0,0,8,8,13
312,Sandro Mamukelashvili,C,24,SAS,46,5,98,16,34,.471,4,14,.297,12,20,.593,.532,5,7,.735,10,22,32,11,2,3,4,8,41
313,Terance Mann,SG,27,LAC,75,71,250,34,66,.515,9,27,.348,24,39,.633,.587,11,13,.832,12,22,34,16,6,2,6,19,88
314,Tre Mann,PG,22,TOT,41,28,241,35,77,.459,11,31,.373,24,46,.516,.533,11,14,.763,5,31,36,40,12,1,16,12,93
314,Tre Mann,PG,22,OKC,13,0,92,15,31,.500,6,15,.421,9,16,.571,.600,1,1,1.000,3,15,18,15,2,0,7,2,38
314,Tre Mann,PG,22,CHO,28,28,310,45,99,.453,14,38,.364,31,60,.509,.524,16,21,.759,6,39,45,52,17,1,20,16,119
315,Boban Marjanović,C,35,HOU,14,0,51,13,24,.529,0,1,.000,13,23,.563,.529,6,10,.643,5,18,23,4,1,1,4,4,32
316,Lauri Markkanen,PF,26,UTA,55,55,331,78,162,.480,32,80,.399,46,82,.559,.578,45,50,.899,22,59,82,20,9,5,14,18,232
317,Naji Marshall,SF,26,NOP,66,1,190,26,56,.463,9,23,.387,17,33,.516,.542,10,13,.791,8,28,36,19,7,2,10,14,71
318,Caleb Martin,SF,28,MIA,64,23,274,38,87,.431,13,36,.349,25,51,.489,.504,12,15,.778,12,32,44,22,7,5,12,20,100
319,Cody Martin,SF,28,CHO,28,22,269,29,77,.381,10,31,.314,20,46,.426,.444,7,12,.606,7,32,39,37,11,6,16,17,75
320,KJ Martin,SF,23,TOT,60,2,124,16,30,.536,1,5,.286,15,26,.582,.558,4,7,.537,7,15,22,9,4,2,5,17,37
320,KJ Martin,SF,23,LAC,2,0,155,20,50,.400,5,25,.200,15,25,.600,.450,5,10,.500,5,10,15,5,10,5,10,15,50
320,KJ Martin,SF,23,PHI,58,2,123,16,29,.544,1,4,.304,15,26,.581,.564,4,7,.538,7,15,22,9,3,2,5,17,37
321,Garrison Mathews,SG,27,ATL,66,5,150,16,34,.456,13,29,.440,3,5,.545,.644,5,6,.810,3,11,14,6,3,1,3,17,49
322,Bennedict Mathurin,SF,21,IND,59,19,261,50,112,.446,14,36,.374,37,76,.481,.507,31,38,.821,10,29,40,20,6,2,16,20,145
323,Wesley Matthews,SG,37,ATL,36,3,115,9,27,.351,7,19,.348,3,8,.357,.474,5,7,.750,3,12,15,6,4,3,2,12,31
324,Tyrese Maxey,PG,23,PHI,70,70,375,91,203,.450,30,81,.373,61,121,.501,.524,47,54,.868,5,32,37,62,10,5,17,22,259
325,Skylar Mays,PG-SG,26,TOT,38,5,114,17,42,.396,4,14,.296,12,28,.448,.447,3,4,.765,3,9,11,22,6,1,5,7,41
325,Skylar Mays,PG,26,POR,21,5,170,25,66,.384,7,23,.286,19,42,.438,.435,6,8,.765,4,13,18,36,7,1,9,10,63
325,Skylar Mays,SG,26,LAL,17,0,45,6,12,.476,1,3,.400,5,9,.500,.524,0,0,,1,3,4,6,4,1,1,4,13
326,Miles McBride,PG,23,NYK,68,14,195,30,67,.452,16,39,.410,14,28,.511,.572,6,7,.860,5,10,15,17,7,1,4,16,83
327,CJ McCollum,PG,32,NOP,66,66,327,73,160,.459,36,84,.429,37,75,.492,.572,17,21,.827,6,37,43,46,9,6,17,19,200
328,T.J. McConnell,PG,31,IND,71,4,182,46,84,.556,3,6,.409,44,77,.568,.572,7,9,.790,5,22,27,55,10,1,15,11,102
329,Jaden McDaniels,SF,23,MIN,72,71,292,43,87,.489,12,35,.337,31,52,.592,.557,8,11,.722,8,23,31,14,9,6,12,30,105
330,Jalen McDaniels,SF,26,TOR,50,1,108,13,38,.344,2,14,.169,11,24,.449,.376,5,7,.730,4,12,16,7,4,1,6,10,34
331,Doug McDermott,SF,32,TOT,64,0,141,19,44,.433,15,36,.410,5,9,.527,.599,2,3,.579,2,8,9,11,3,0,4,10,55
331,Doug McDermott,SF,32,SAS,46,0,152,21,47,.442,17,38,.439,4,9,.452,.619,2,4,.588,2,9,10,12,2,0,5,10,60
331,Doug McDermott,SF,32,IND,18,0,113,16,38,.406,10,31,.321,6,7,.769,.536,1,1,.500,1,5,6,7,3,0,2,9,42
332,JaVale McGee,C,36,SAC,46,0,74,17,29,.598,0,2,.143,17,27,.624,.602,6,10,.578,9,18,27,4,3,4,7,10,40
333,Bryce McGowens,SG,21,CHO,59,14,149,17,39,.439,6,17,.333,11,22,.523,.513,11,14,.776,3,14,17,9,4,2,5,13,51
334,Jordan McLaughlin,PG,27,MIN,56,0,112,13,26,.483,8,16,.472,5,10,.500,.628,2,3,.722,3,10,13,20,6,1,3,6,35
335,De'Anthony Melton,SG,25,PHI,38,33,269,37,95,.386,20,56,.360,16,38,.425,.493,17,21,.835,7,30,37,30,16,4,10,22,111
336,Nathan Mensah,C,25,CHO,25,0,123,5,11,.429,0,0,,5,11,.429,.429,4,5,.750,12,14,26,4,2,6,6,26,13
337,Sam Merrill,SG,27,CLE,61,1,175,26,64,.402,23,58,.404,2,6,.385,.584,4,5,.929,4,16,20,18,3,1,3,12,80
338,Chimezie Metu,C,26,TOT,51,12,168,24,48,.504,5,18,.298,19,29,.633,.561,11,13,.906,8,30,38,9,8,3,10,14,65
338,Chimezie Metu,C,26,PHO,37,5,121,18,35,.508,4,14,.294,14,21,.646,.565,10,12,.884,6,23,30,5,5,2,7,11,50
338,Chimezie Metu,C,26,DET,14,7,294,41,81,.500,9,31,.302,31,51,.620,.557,14,15,.952,12,48,60,19,17,5,18,23,105
339,Vasilije Micić,PG,30,TOT,60,21,196,27,62,.430,7,26,.279,19,36,.537,.488,10,13,.813,2,12,15,44,5,1,17,11,70
339,Vasilije Micić,PG,30,OKC,30,0,120,12,30,.407,4,15,.244,9,15,.565,.467,5,6,.737,0,8,8,25,3,1,10,7,33
339,Vasilije Micić,PG,30,CHO,30,21,272,41,93,.437,11,36,.294,30,57,.529,.495,16,19,.839,4,17,21,62,7,1,23,15,108
340,Khris Middleton,SF,32,MIL,55,55,270,58,117,.493,17,45,.381,41,72,.563,.566,18,22,.833,7,39,47,53,9,3,23,26,151
